Rank State
1 Minnesota
2 Vermont
3 New Hampshire
4 Massachusetts
5 Connecticut
6 Pennsylvania
7 New Jersey
8 North Dakota
9 Maine
10 New York
11 Georgia
12 Maryland
13 Ohio
14 South Dakota
15 Illinois
16 Delaware
17 District of Columbia
18 Iowa
19 Kentucky
20 Michigan
21 Kansas
22 North Carolina
23 Virginia
24 Hawaii
25 Rhode Island
26 Wisconsin
27 Missouri
28 Nebraska
29 Indiana
30 Louisiana
31 Washington
32 Florida
33 Colorado
34 California
35 Alabama
36 Montana
37 New Mexico
38 South Carolina
39 Arkansas
40 Utah
41 Oklahoma
42 West Virginia
43 Arizona
44 Oregon
45 Tennessee
46 Texas
47 Alaska
48 Mississippi
49 Wyoming
50 Idaho
51 Nevada 
